file,token,ident,hw_index,sw_lo,sw_hi,f0_lo,f0_hi,events,entities,bytes,status,ext_raw
bess.yaml,BESS,0x2502,,,,,,99,64,29400,ok,
cu401b_a.yaml,CU401B_A,0x204C,,,,,,2149,2062,690137,ok,
cu401b_g.yaml,CU401B_G,0x204B,,,,,,2154,2068,692681,ok,
cu401b_s.yaml,CU401B_S,0x204D,,,,,,2283,2195,734724,ok,
,DEKATEL_F,0x2088,,,,,,586,1,,skipped: no Optolink-reachable datapoints,37343530353330
,DEKATEL_F_A,0x2088,,,,,,540,1,,skipped: no Optolink-reachable datapoints,37343533353330
,DEKATEL_F_CH,0x2088,,,,,,540,1,,skipped: no Optolink-reachable datapoints,37343531353330
,DEKATEL_F_ETCPU,0x2088,,,,,,586,1,,skipped: no Optolink-reachable datapoints,37343037303930
,DEKATEL_F_I,0x2088,,,,,,540,1,,skipped: no Optolink-reachable datapoints,37343532353330
,DEKATEL_F_R1,0x2088,,,,,,597,1,,skipped: no Optolink-reachable datapoints,37343530353333
,DEKATEL_F_R1_ETCPU,0x2088,,,,,,597,1,,skipped: no Optolink-reachable datapoints,37343037303931
dekatel_m.yaml,DEKATEL_M,0x2081,,,,,,89,13,65903,ok,37343530353336
,DEKATEL_M_A,0x2081,,,,,,87,1,,skipped: no Optolink-reachable datapoints,37343533353336
,DEKATEL_M_CH,0x2081,,,,,,87,1,,skipped: no Optolink-reachable datapoints,37343531353336
,Dekamatik_E,0x2000,,,,,,167,1,,skipped: no Optolink-reachable datapoints,01400e
,Dekamatik_HK1,0x2000,,,,,,86,1,,skipped: no Optolink-reachable datapoints,044200
,Dekamatik_HK1_5,0x2000,,,,,,86,1,,skipped: no Optolink-reachable datapoints,054200
,Dekamatik_HK1_6,0x2000,,,,,,86,1,,skipped: no Optolink-reachable datapoints,064200
,Dekamatik_HK1_7,0x2000,,,,,,86,1,,skipped: no Optolink-reachable datapoints,074200
,Dekamatik_HK1_8,0x2000,,,,,,86,1,,skipped: no Optolink-reachable datapoints,084200
,Dekamatik_HK1_9,0x2000,,,,,,86,1,,skipped: no Optolink-reachable datapoints,094200
,Dekamatik_HK1_A,0x2000,,,,,,86,1,,skipped: no Optolink-reachable datapoints,0a4200
,Dekamatik_HK1_B,0x2000,,,,,,86,1,,skipped: no Optolink-reachable datapoints,0b4200
,Dekamatik_HK2,0x2000,,,,,,129,1,,skipped: no Optolink-reachable datapoints,044100
